
WG5 requirement priorities for Fortran 2000 - Feb, 1997            X3J3/97-140r2
=======================================================            =============

priority     requirement                                    reference
--------     -----------                                    ---------	
   a         derived type I/O                                 #17
   a         procedure pointers                               #43
   a         inheritance (EXTENDS)                            #88
   a         polymorphism (OBJECT)                            #88
   a         internationalization                             97-128
   a         parameterized derived types                      #14
   a         interval arithmetic                              #62
   a         constructors/destructors                         #89
   a         asynchronous I/O                                 #52

   b         VOLATILE attribute                               97-129
   b         allow public entities of private type            #75
   b         PUBLIC and PRIVATE derived type components       97-124
   b         stream I/O                                       #63
   b         command line arguments                           #20
   b         access to status error messages                  97-114r2
   b         IEEE I/O rounding inquiry intrinsics             97-126

   c         specified precedence for user-defined operators  N1248
   c         assert statement/construct                       97-125
   c         pointer association classes (NOALIAS)            #60
   c         aliasing type definitions                        #11
   c         regularize  KIND parameterization                #57
   c         extend ALLOCATE to nonkind parameter objects     #72
   c         exception handling                               #5
   c         any kind integer  in i/o specs                   #68
   c         allow internal procedures as actual args         #42
   c         allow tabs in data and source                    #79
   c         regularize random seed                           #55
   c         packed LOGICAL array of bits                     #21
   c         SWAP operator                                    97-114r2
   c         pre-connected I/O unit numbers                   97-114r2
   c         separate module specification/implementation     97-114r2


